1012,  6713,  completed,  eof,  2014-05-02 04:42:47,  2014-05-02 04:42:47,  0,  modelParams|clParams|alpha_0.0818363636364.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0184272727273,  6,  0.0818363636364,  11,  15,  1,  0.0184272727273,  0.6, 
1012,  6737,  completed,  eof,  2014-05-02 04:42:47,  2014-05-02 04:42:47,  0,  modelParams|clParams|alpha_0.0818363636364.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0184272727273,  6,  0.0818363636364,  11,  15,  1,  0.0184272727273,  1.0, 
1012,  6778,  completed,  eof,  2014-05-02 04:42:47,  2014-05-02 04:42:47,  0,  modelParams|clParams|alpha_0.01883125.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.04391875,  6,  0.01883125,  10,  14,  3,  0.04391875,  0.6, 
1012,  6795,  completed,  eof,  2014-05-02 04:42:47,  2014-05-02 04:42:47,  0,  modelParams|clParams|alpha_0.01883125.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.04391875,  6,  0.01883125,  10,  14,  3,  0.04391875,  0.6, 
1012,  6834,  completed,  eof,  2014-05-02 04:42:47,  2014-05-02 04:42:48,  1,  modelParams|clParams|alpha_0.01883125.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.04391875,  6,  0.01883125,  10,  14,  3,  0.04391875,  1.0, 
1012,  6850,  completed,  eof,  2014-05-02 04:42:47,  2014-05-02 04:42:48,  1,  modelParams|clParams|alpha_0.0942365384615.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.0309769230769,  6,  0.0942365384615,  11,  16,  4,  0.0309769230769,  0.6, 
1012,  6891,  completed,  eof,  2014-05-02 04:42:48,  2014-05-02 04:42:48,  0,  modelParams|clParams|alpha_0.0942365384615.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.0309769230769,  6,  0.0942365384615,  11,  16,  4,  0.0309769230769,  0.6, 
1012,  6927,  completed,  eof,  2014-05-02 04:42:48,  2014-05-02 04:42:48,  0,  modelParams|clParams|alpha_0.0942365384615.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.0309769230769,  6,  0.0942365384615,  11,  16,  4,  0.0309769230769,  1.0, 
1012,  6988,  completed,  eof,  2014-05-02 04:42:48,  2014-05-02 04:42:48,  0,  modelParams|clParams|alpha_0.00545178571429.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.00564107142857,  6,  0.00545178571429,  11,  13,  1,  0.00564107142857,  0.6, 
1012,  7026,  completed,  eof,  2014-05-02 04:42:48,  2014-05-02 04:42:49,  1,  modelParams|clParams|alpha_0.00545178571429.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.00564107142857,  6,  0.00545178571429,  11,  13,  1,  0.00564107142857,  0.6, 
